uc009vfm.1	ENSMUST00000163671
uc009shv.2	ENSMUST00000081558
uc009shw.1	ENSMUST00000100281
uc009shx.1	ENSMUST00000079524
uc009shy.1	ENSMUST00000099144
uc009shz.1	ENSMUST00000115921
uc009sia.1	ENSMUST00000098115
uc009sig.1	ENSMUST00000115902
uc009sja.1	ENSMUST00000115912
uc012hdo.1	ENSMUST00000115907
uc009sjb.1	ENSMUST00000115903
uc009sjk.1	ENSMUST00000163580
uc012hdp.1	ENSMUST00000110554
uc012hdq.1	ENSMUST00000097490
uc012hdr.1	ENSMUST00000097490
uc009sjs.2	ENSMUST00000097490
uc009sju.1	ENSMUST00000108762
uc009sjv.1	ENSMUST00000108762
uc012hds.1	ENSMUST00000108762
uc009sjw.2	ENSMUST00000111414
uc009skb.2	ENSMUST00000037685
uc009ske.1	ENSMUST00000080505
uc009skg.1	ENSMUST00000116969
uc009skh.1	ENSMUST00000082194
uc009shl.1	ENSMUST00000067621
uc009shk.1	ENSMUST00000067621
uc009shm.1	ENSMUST00000067621
uc009shp.1	ENSMUST00000169961
uc009shq.1	ENSMUST00000169961
uc009shr.1	ENSMUST00000110583
uc009shs.1	ENSMUST00000110583
uc009sht.1	ENSMUST00000110583
uc009shi.2	ENSMUST00000115876
uc009shj.2	ENSMUST00000115876
uc009shn.1	ENSMUST00000071300
uc012hdj.1	ENSMUST00000110582
uc009oaf.2	ENSMUST00000095431
uc009oag.2	ENSMUST00000115930
uc012gni.1	ENSMUST00000169977
uc009oad.1	ENSMUST00000111423
uc009oae.1	ENSMUST00000078827
uc009oah.2	ENSMUST00000098908
uc009oaj.1	ENSMUST00000115885
uc009oak.1	ENSMUST00000115885
uc009oal.1	ENSMUST00000060606
uc009oam.1	ENSMUST00000060606
uc009ves.2	ENSMUST00000098804
uc009veq.1	ENSMUST00000168558
uc009ver.1	ENSMUST00000110552
uc012fyf.1	ENSMUST00000110552
uc012ehp.1	ENSMUST00000110556
uc012ehq.1	ENSMUST00000163535
uc009vdc.1	ENSMUST00000077235
uc008ict.1	ENSMUST00000109166
uc012bom.1	ENSMUST00000109166
uc008icu.2	ENSMUST00000109166
uc008icz.1	ENSMUST00000097043
uc008ida.1	ENSMUST00000097043
uc008idb.1	ENSMUST00000097043
uc008idc.1	ENSMUST00000097043
uc012boo.1	ENSMUST00000097043
uc012bop.1	ENSMUST00000065900
uc008idh.1	ENSMUST00000111360
uc008idi.1	ENSMUST00000111360
uc008ick.1	ENSMUST00000171366
uc008icl.1	ENSMUST00000003035
uc008icm.1	ENSMUST00000003035
uc008icn.1	ENSMUST00000003035
uc008ico.1	ENSMUST00000171366
uc008icp.1	ENSMUST00000163156
uc008icq.1	ENSMUST00000057062
uc008icr.1	ENSMUST00000057062
uc008ics.1	ENSMUST00000057062
uc012bon.1	ENSMUST00000109158
uc008icw.1	ENSMUST00000069922
uc008icx.1	ENSMUST00000109158
uc008icy.1	ENSMUST00000069922
uc008ide.1	ENSMUST00000115933
uc008idg.1	ENSMUST00000111362
uc008idj.1	ENSMUST00000165967
uc008idk.1	ENSMUST00000115924
uc008idl.1	ENSMUST00000169757
uc008dxb.1	ENSMUST00000096721
uc008dxi.1	ENSMUST00000110788
uc008dwy.2	ENSMUST00000114581
uc007rzq.1	ENSMUST00000115969
uc007rzt.1	ENSMUST00000115969
uc007rzn.1	ENSMUST00000115969
uc007rzo.1	ENSMUST00000115967
uc007rzp.1	ENSMUST00000115969
uc007rzr.1	ENSMUST00000115969
uc007rzs.1	ENSMUST00000115967
uc007rzu.1	ENSMUST00000115963
uc011zez.1	ENSMUST00000115963
uc007sac.1	ENSMUST00000112133
uc007saf.1	ENSMUST00000112133
uc007rzz.1	ENSMUST00000112133
uc007saa.1	ENSMUST00000112128
uc007sab.1	ENSMUST00000112133
uc007sad.1	ENSMUST00000112133
uc007sae.1	ENSMUST00000112128
uc007sag.1	ENSMUST00000112125
uc011zfa.1	ENSMUST00000112125
uc007rzv.1	ENSMUST00000100285
uc007rzw.1	ENSMUST00000100285
uc007rzx.1	ENSMUST00000100285
uc007sah.1	ENSMUST00000112117
uc007sai.1	ENSMUST00000112117
uc007saj.1	ENSMUST00000112117
uc007sal.1	ENSMUST00000099241
uc009vev.1	ENSMUST00000082388
uc009vew.1	ENSMUST00000082390
uc009vex.1	ENSMUST00000082396
uc009vey.1	ENSMUST00000082402
uc009vez.1	ENSMUST00000082405
uc009vfa.1	ENSMUST00000082408
uc009vfb.1	ENSMUST00000082414
uc009vfc.1	ENSMUST00000082418
uc012hdm.1	ENSMUST00000082419
uc009uyw.1	ENSMUST00000115894
uc009uyx.1	ENSMUST00000115894
uc009uyy.1	ENSMUST00000169001
uc009uyz.1	ENSMUST00000169001
uc009uza.1	ENSMUST00000055032
uc009uzb.1	ENSMUST00000055032
uc009uzc.1	ENSMUST00000055032
uc009uzd.1	ENSMUST00000091197
uc012hru.1	ENSMUST00000163651
uc009uzq.1	ENSMUST00000100360
uc012hry.1	ENSMUST00000171534
uc009uzs.1	ENSMUST00000092052
uc009uzr.2	ENSMUST00000092052
uc012hrz.1	ENSMUST00000078383
uc009uzt.2	ENSMUST00000078383
uc012hsa.1	ENSMUST00000166474
uc012hsb.1	ENSMUST00000166474
uc012hsc.1	ENSMUST00000166474
uc012hsd.1	ENSMUST00000166474
uc009uyv.2	ENSMUST00000065545
uc009uze.1	ENSMUST00000172304
uc009uzf.1	ENSMUST00000069309
uc009uzg.1	ENSMUST00000069309
uc012hrt.1	ENSMUST00000157073
uc009uzh.1	ENSMUST00000069309
uc009uzi.1	ENSMUST00000143958
uc009uzj.1	ENSMUST00000143958
uc009uzm.2	ENSMUST00000091190
uc009uzn.2	ENSMUST00000091190
uc009uzo.1	ENSMUST00000091188
uc009uzp.1	ENSMUST00000115891
uc012hrv.1	ENSMUST00000091178
uc012hrw.1	ENSMUST00000168551
uc012hrx.1	ENSMUST00000169382
uc009skk.1	ENSMUST00000105019
uc009skn.1	ENSMUST00000140300
uc009sko.1	ENSMUST00000105015
uc009skq.1	ENSMUST00000105013
uc009skr.1	ENSMUST00000105011
uc009skt.1	ENSMUST00000105007
uc009sku.1	ENSMUST00000103007
uc009sky.1	ENSMUST00000103005
uc009skz.1	ENSMUST00000089520
uc009sla.2	ENSMUST00000067410
uc009slc.1	ENSMUST00000057101
uc009sld.1	ENSMUST00000115750
uc009slf.2	ENSMUST00000128858
uc009slk.2	ENSMUST00000144719
uc009slm.2	ENSMUST00000115740
uc009sll.2	ENSMUST00000115740
uc012heg.1	ENSMUST00000115738
uc009slo.1	ENSMUST00000070906
uc009slp.1	ENSMUST00000115726
uc012heh.1	ENSMUST00000115726
uc009slq.1	ENSMUST00000141634
uc012hei.1	ENSMUST00000115725
uc009slr.2	ENSMUST00000149795
uc009sls.2	ENSMUST00000033484
uc009slt.1	ENSMUST00000141876
uc009slu.1	ENSMUST00000129662
uc009slv.1	ENSMUST00000129662
uc009slw.1	ENSMUST00000123172
uc009sma.1	ENSMUST00000049896
uc009smb.1	ENSMUST00000115689
uc009smc.1	ENSMUST00000043045
uc009smd.1	ENSMUST00000043045
uc009sme.1	ENSMUST00000033489
uc009smh.2	ENSMUST00000077680
uc009smi.2	ENSMUST00000077680
uc009smg.2	ENSMUST00000077680
uc012hek.1	ENSMUST00000137467
uc009smj.2	ENSMUST00000115677
uc009smk.2	ENSMUST00000101695
uc009sml.2	ENSMUST00000077680
uc009smp.1	ENSMUST00000135622
uc009smm.1	ENSMUST00000171917
uc009smn.1	ENSMUST00000115671
uc009smq.1	ENSMUST00000132456
uc009smo.1	ENSMUST00000065932
uc012hel.1	ENSMUST00000115675
uc009smr.1	ENSMUST00000144946
uc009sms.1	ENSMUST00000009875
uc009smt.1	ENSMUST00000033494
uc009smx.1	ENSMUST00000150644
uc009smu.1	ENSMUST00000033494
uc009smv.1	ENSMUST00000033494
uc009smy.1	ENSMUST00000033494
uc009smw.1	ENSMUST00000033494
uc009smz.1	ENSMUST00000033495
uc009sna.1	ENSMUST00000115660
uc009snb.1	ENSMUST00000115660
uc009snc.1	ENSMUST00000115660
uc009sne.1	ENSMUST00000033498
uc009snf.2	ENSMUST00000041096
uc009sno.1	ENSMUST00000126286
uc009snt.1	ENSMUST00000123120
uc009soe.2	ENSMUST00000124018
uc009sos.1	ENSMUST00000033512
uc009sot.1	ENSMUST00000115590
uc009sou.1	ENSMUST00000103003
uc012hep.1	ENSMUST00000101693
uc009sov.1	ENSMUST00000037297
uc009sox.1	ENSMUST00000037297
uc009sow.2	ENSMUST00000101693
uc012heq.1	ENSMUST00000037297
uc009spf.2	ENSMUST00000103001
uc009soy.1	ENSMUST00000037297
uc009spg.1	ENSMUST00000089370
uc009sph.1	ENSMUST00000115563
uc009spi.2	ENSMUST00000064196
uc009spm.1	ENSMUST00000096509
uc009spn.1	ENSMUST00000097029
uc009spo.1	ENSMUST00000069763
uc009spr.1	ENSMUST00000105138
uc009spq.1	ENSMUST00000015486
uc009spt.2	ENSMUST00000073949
uc009spz.1	ENSMUST00000044987
uc012hes.1	ENSMUST00000057113
uc009sqa.1	ENSMUST00000067529
uc009sqb.1	ENSMUST00000086165
uc009sqk.1	ENSMUST00000049910
uc009sql.1	ENSMUST00000115526
uc009sqm.1	ENSMUST00000076354
uc009sqo.2	ENSMUST00000008179
uc009sqn.2	ENSMUST00000115524
uc012hev.1	ENSMUST00000164398
uc009sqp.1	ENSMUST00000164729
uc012hew.1	ENSMUST00000091180
uc009sqx.2	ENSMUST00000033313
uc012hex.1	ENSMUST00000164051
uc009sre.1	ENSMUST00000139163
uc009srf.1	ENSMUST00000130099
uc009srg.1	ENSMUST00000139764
uc009srh.1	ENSMUST00000169594
uc009srj.1	ENSMUST00000124097
uc009sri.1	ENSMUST00000089302
uc009srl.2	ENSMUST00000000804
uc009srm.2	ENSMUST00000000804
uc012hey.1	ENSMUST00000000804
uc009srn.1	ENSMUST00000050434
uc009srs.1	ENSMUST00000041708
uc009srt.1	ENSMUST00000041708
uc009sru.1	ENSMUST00000041708
uc009srv.1	ENSMUST00000053659
uc009srw.1	ENSMUST00000079952
uc009sry.1	ENSMUST00000024026
uc009srz.1	ENSMUST00000115422
uc009ssa.2	ENSMUST00000026013
uc009ssi.1	ENSMUST00000026018
uc009ssj.1	ENSMUST00000130978
uc009ssk.1	ENSMUST00000130978
uc009ssl.1	ENSMUST00000167372
uc009ssm.1	ENSMUST00000052368
uc009ssn.1	ENSMUST00000044484
uc009sso.1	ENSMUST00000044484
uc009sss.1	ENSMUST00000044138
uc009ssv.1	ENSMUST00000033372
uc012hfe.1	ENSMUST00000115387
uc009ssw.1	ENSMUST00000115391
uc009ssx.1	ENSMUST00000134349
uc009ssy.1	ENSMUST00000136093
uc009ssz.1	ENSMUST00000115384
uc009sta.1	ENSMUST00000115384
uc009stb.1	ENSMUST00000115384
uc009std.1	ENSMUST00000023832
uc009stk.1	ENSMUST00000141128
uc009stg.2	ENSMUST00000115374
uc009stf.2	ENSMUST00000115375
uc009sth.2	ENSMUST00000115374
uc009sti.2	ENSMUST00000115374
uc012hff.1	ENSMUST00000115374
uc009stl.1	ENSMUST00000089217
uc009stm.2	ENSMUST00000001989
uc009stn.1	ENSMUST00000115364
uc009sto.1	ENSMUST00000033380
uc009stp.2	ENSMUST00000137101
uc009stq.3	ENSMUST00000033383
uc009sts.2	ENSMUST00000122312
uc009stt.2	ENSMUST00000152955
uc009stv.1	ENSMUST00000152955
uc009str.1	ENSMUST00000136451
uc009stu.2	ENSMUST00000001155
uc009sty.1	ENSMUST00000115342
uc009stz.1	ENSMUST00000115342
uc009sug.2	ENSMUST00000123462
uc009suh.2	ENSMUST00000136447
uc009sul.1	ENSMUST00000040437
uc009sun.1	ENSMUST00000072593
uc009suo.1	ENSMUST00000172263
uc009sup.2	ENSMUST00000127554
uc009suq.2	ENSMUST00000089188
uc009sur.2	ENSMUST00000033414
uc009sus.2	ENSMUST00000063668
uc009suw.1	ENSMUST00000035766
uc009sux.1	ENSMUST00000035766
uc009suy.1	ENSMUST00000101670
uc012hfi.1	ENSMUST00000116614
uc009svq.1	ENSMUST00000133794
uc009svr.1	ENSMUST00000133794
uc009svv.1	ENSMUST00000147993
uc009swb.1	ENSMUST00000129963
uc009swc.1	ENSMUST00000129963
uc009swg.1	ENSMUST00000124814
uc009swk.2	ENSMUST00000101657
uc009swl.2	ENSMUST00000101657
uc009swm.1	ENSMUST00000140614
uc009swn.2	ENSMUST00000101654
uc009swo.2	ENSMUST00000101654
uc009swt.1	ENSMUST00000105129
uc009swv.2	ENSMUST00000105125
uc012hfp.1	ENSMUST00000105124
uc012hfq.1	ENSMUST00000105123
uc009sxc.2	ENSMUST00000101647
uc012hfs.1	ENSMUST00000101647
uc009sxd.1	ENSMUST00000149994
uc009sxg.2	ENSMUST00000101645
uc009sxh.2	ENSMUST00000101645
uc009sxi.1	ENSMUST00000033419
uc009sxj.1	ENSMUST00000033418
uc009sxk.2	ENSMUST00000115258
uc009sxl.2	ENSMUST00000115258
uc009sxm.1	ENSMUST00000135758
uc009sxn.1	ENSMUST00000016383
uc009sxo.1	ENSMUST00000073339
uc009sxq.1	ENSMUST00000133699
uc009sxr.1	ENSMUST00000047655
uc012hfu.1	ENSMUST00000047655
uc009sxs.1	ENSMUST00000016463
uc009sxv.1	ENSMUST00000016452
uc012hfw.1	ENSMUST00000016452
uc009syb.1	ENSMUST00000060057
uc009syg.2	ENSMUST00000016553
uc009syj.1	ENSMUST00000046433
uc009sym.1	ENSMUST00000063340
uc012hfx.1	ENSMUST00000063340
uc009syo.2	ENSMUST00000115203
uc009syp.2	ENSMUST00000115194
uc009syn.1	ENSMUST00000063340
uc009syq.1	ENSMUST00000115191
uc012hfy.1	ENSMUST00000121045
uc009syr.1	ENSMUST00000096458
uc009syt.1	ENSMUST00000115190
uc012hfz.1	ENSMUST00000115188
uc012hga.1	ENSMUST00000115188
uc012hgb.1	ENSMUST00000115188
uc009syv.1	ENSMUST00000115183
uc009syw.1	ENSMUST00000115179
uc012hgc.1	ENSMUST00000119181
uc009syx.1	ENSMUST00000115175
uc009syy.1	ENSMUST00000072167
uc012hge.1	ENSMUST00000115198
uc009sys.1	ENSMUST00000096458
uc012hgd.1	ENSMUST00000115175
uc009syz.1	ENSMUST00000089075
uc009sza.1	ENSMUST00000115173
uc012hgf.1	ENSMUST00000115172
uc009szg.1	ENSMUST00000006362
uc009szh.1	ENSMUST00000096454
uc009szl.1	ENSMUST00000115150
uc009szo.2	ENSMUST00000152730
uc009szp.1	ENSMUST00000049740
uc009szq.1	ENSMUST00000049740
uc012hgk.1	ENSMUST00000175053
uc009szt.1	ENSMUST00000016471
uc009szu.1	ENSMUST00000115134
uc009tae.1	ENSMUST00000134573
uc009tad.1	ENSMUST00000000365
uc009taf.1	ENSMUST00000115115
uc009tah.1	ENSMUST00000050744
uc009tai.1	ENSMUST00000115114
uc009taj.1	ENSMUST00000148212
uc009tak.2	ENSMUST00000148212
uc012hgn.1	ENSMUST00000115103
uc012hgo.1	ENSMUST00000115103
uc009tam.2	ENSMUST00000076349
uc009tal.2	ENSMUST00000076349
uc009tan.2	ENSMUST00000139965
uc009tar.1	ENSMUST00000141316
uc009tav.2	ENSMUST00000115094
uc009tas.2	ENSMUST00000115095
uc009tat.2	ENSMUST00000055483
uc009tau.2	ENSMUST00000026978
uc009tay.1	ENSMUST00000127618
uc009taw.1	ENSMUST00000136323
uc009tax.1	ENSMUST00000115072
uc009taz.1	ENSMUST00000069619
uc009tba.1	ENSMUST00000129855
uc009tbb.1	ENSMUST00000005839
uc012hgp.1	ENSMUST00000115070
uc012hgq.1	ENSMUST00000105113
uc009tbi.1	ENSMUST00000040002
uc009tbj.1	ENSMUST00000059466
uc009tbs.1	ENSMUST00000115020
uc009tbr.1	ENSMUST00000001202
uc009tbt.1	ENSMUST00000115013
uc009tbv.1	ENSMUST00000077775
uc012hgr.1	ENSMUST00000077775
uc009tbw.1	ENSMUST00000033427
uc009tca.1	ENSMUST00000125966
uc009tcb.1	ENSMUST00000080713
uc009tcc.1	ENSMUST00000136348
uc009tci.1	ENSMUST00000033430
uc009tco.2	ENSMUST00000033431
uc009tcp.2	ENSMUST00000134757
uc009tcq.2	ENSMUST00000134757
uc009tcr.1	ENSMUST00000114936
uc009tct.1	ENSMUST00000033433
uc009tdc.1	ENSMUST00000114904
uc009tdd.1	ENSMUST00000114904
uc009tde.1	ENSMUST00000096449
uc009tdr.1	ENSMUST00000033444
uc012hgx.1	ENSMUST00000033444
uc012hgy.1	ENSMUST00000146956
uc009tei.1	ENSMUST00000068507
uc009tem.1	ENSMUST00000101588
uc009ten.1	ENSMUST00000078944
uc009teo.1	ENSMUST00000101587
uc009tep.1	ENSMUST00000078944
uc009teq.1	ENSMUST00000078944
uc009ter.1	ENSMUST00000026723
uc009tez.1	ENSMUST00000114835
uc012hhq.1	ENSMUST00000124137
uc012hhr.1	ENSMUST00000124137
uc009tfc.1	ENSMUST00000074232
uc009tfd.1	ENSMUST00000114827
uc009tfg.1	ENSMUST00000068983
uc009tfi.1	ENSMUST00000069209
uc009tfo.1	ENSMUST00000164997
uc009tfp.1	ENSMUST00000114809
uc009tfq.1	ENSMUST00000114807
uc009tfr.1	ENSMUST00000172049
uc009tfs.1	ENSMUST00000166000
uc009tft.1	ENSMUST00000166000
uc009tfu.1	ENSMUST00000119974
uc009tfv.1	ENSMUST00000169247
uc009tfw.2	ENSMUST00000169247
uc009tfx.2	ENSMUST00000088740
uc012hhs.1	ENSMUST00000168427
uc012hht.1	ENSMUST00000163353
uc009tfy.1	ENSMUST00000033458
uc009tga.1	ENSMUST00000151426
uc009tgb.2	ENSMUST00000101560
uc009tgd.2	ENSMUST00000068106
uc009tge.2	ENSMUST00000134138
uc009tgf.2	ENSMUST00000134138
uc009tgg.2	ENSMUST00000134138
uc009tgh.2	ENSMUST00000134138
uc009tgk.2	ENSMUST00000167531
uc009tgl.2	ENSMUST00000077741
uc009tgm.1	ENSMUST00000023854
uc009tgn.1	ENSMUST00000114769
uc009tgo.1	ENSMUST00000114772
uc012hhw.1	ENSMUST00000114769
uc009tgs.2	ENSMUST00000096431
uc009tgt.2	ENSMUST00000145035
uc009tgu.1	ENSMUST00000033464
uc009tgv.2	ENSMUST00000114751
uc009tgx.2	ENSMUST00000134785
uc009tgw.2	ENSMUST00000088652
uc009tgy.2	ENSMUST00000088652
uc009tgz.1	ENSMUST00000033465
uc012hhx.1	ENSMUST00000033465
uc009tha.1	ENSMUST00000138082
uc009thb.1	ENSMUST00000033466
uc009thm.2	ENSMUST00000114725
uc009tho.1	ENSMUST00000088627
uc009thq.1	ENSMUST00000088631
uc009thp.1	ENSMUST00000088629
uc009ths.2	ENSMUST00000062542
uc009thw.1	ENSMUST00000033477
uc009tie.1	ENSMUST00000152669
uc009tig.1	ENSMUST00000142919
uc009tih.2	ENSMUST00000125930
uc009tii.1	ENSMUST00000096426
uc009tij.1	ENSMUST00000075983
uc012hif.1	ENSMUST00000051414
uc009tik.1	ENSMUST00000051414
uc009tin.2	ENSMUST00000033522
uc009tiq.2	ENSMUST00000033524
uc012hig.1	ENSMUST00000166241
uc009tir.2	ENSMUST00000166241
uc012hiz.1	ENSMUST00000120020
uc012hjb.1	ENSMUST00000114672
uc009tit.1	ENSMUST00000127954
uc012hjg.1	ENSMUST00000101518
uc009tiu.1	ENSMUST00000146177
uc009tiy.1	ENSMUST00000146177
uc009tiv.1	ENSMUST00000148348
uc009tiw.1	ENSMUST00000088546
uc009tix.1	ENSMUST00000088546
uc012hjh.1	ENSMUST00000071848
uc012hji.1	ENSMUST00000069731
uc012hjj.1	ENSMUST00000069731
uc009tjc.1	ENSMUST00000151662
uc009tjb.1	ENSMUST00000033532
uc009tjd.1	ENSMUST00000075654
uc009tjf.1	ENSMUST00000053981
uc009tjj.1	ENSMUST00000120324
uc009tjk.1	ENSMUST00000082088
uc012hjn.1	ENSMUST00000082088
uc012hjo.1	ENSMUST00000171716
uc009tjl.1	ENSMUST00000082088
uc009tjm.2	ENSMUST00000152810
uc009tjn.2	ENSMUST00000101501
uc009tjo.2	ENSMUST00000134859
uc009tjp.2	ENSMUST00000134859
uc009tjq.2	ENSMUST00000156452
uc012hjp.1	ENSMUST00000171933
uc009tjr.2	ENSMUST00000061970
uc012hjq.1	ENSMUST00000025391
uc009tjs.2	ENSMUST00000101502
uc009tju.1	ENSMUST00000130909
uc009tjv.1	ENSMUST00000132837
uc012hjr.1	ENSMUST00000146213
uc009tjw.1	ENSMUST00000146213
uc009tjx.1	ENSMUST00000132837
uc009tjt.1	ENSMUST00000015358
uc009tjy.1	ENSMUST00000015358
uc009tkb.1	ENSMUST00000072699
uc009tkc.1	ENSMUST00000072699
uc009tkd.1	ENSMUST00000114582
uc009tke.1	ENSMUST00000171576
uc012hjs.1	ENSMUST00000171576
uc009tkf.2	ENSMUST00000114576
uc009tkg.2	ENSMUST00000101495
uc012hjt.1	ENSMUST00000048790
uc009tkh.1	ENSMUST00000048790
uc009tkj.1	ENSMUST00000066116
uc009tkk.1	ENSMUST00000006020
uc009tkl.1	ENSMUST00000048675
uc009tkq.1	ENSMUST00000033711
uc009tkr.1	ENSMUST00000114553
uc009tkv.1	ENSMUST00000033715
uc012hjy.1	ENSMUST00000158732
uc009tkw.2	ENSMUST00000114543
uc009tkx.2	ENSMUST00000114543
uc009tla.1	ENSMUST00000060418
uc009tlf.1	ENSMUST00000088459
uc012hka.1	ENSMUST00000114518
uc009tlh.1	ENSMUST00000137641
uc009tlj.1	ENSMUST00000069103
uc012hkb.1	ENSMUST00000069077
uc009tli.2	ENSMUST00000069077
uc012hkc.1	ENSMUST00000069077
uc012hkd.1	ENSMUST00000069077
uc012hke.1	ENSMUST00000069077
uc009tlk.1	ENSMUST00000105111
uc009tlp.2	ENSMUST00000159795
uc009tlq.2	ENSMUST00000114499
uc009tlr.1	ENSMUST00000033740
uc009tls.1	ENSMUST00000086470
uc009tlw.2	ENSMUST00000140803
uc009tlx.2	ENSMUST00000141945
uc012hkf.1	ENSMUST00000033741
uc009tlz.1	ENSMUST00000088429
uc009tma.1	ENSMUST00000114479
uc009tmb.1	ENSMUST00000019701
uc009tmi.1	ENSMUST00000146796
uc009tmh.2	ENSMUST00000033752
uc009tmf.2	ENSMUST00000033752
uc009tmg.2	ENSMUST00000033752
uc012hkg.1	ENSMUST00000033752
uc012hkh.1	ENSMUST00000114464
uc009tmm.1	ENSMUST00000114461
uc009tmk.1	ENSMUST00000114461
uc009tml.1	ENSMUST00000002084
uc009tmn.2	ENSMUST00000149478
uc009tmo.1	ENSMUST00000002081
uc009tmr.2	ENSMUST00000166518
uc009tms.2	ENSMUST00000166518
uc009tmx.1	ENSMUST00000033765
uc009tmy.1	ENSMUST00000033765
uc012hki.1	ENSMUST00000033765
uc009tmz.1	ENSMUST00000033765
uc009tnv.1	ENSMUST00000033771
uc012hkp.1	ENSMUST00000101457
uc009tnw.1	ENSMUST00000117131
uc009tnx.1	ENSMUST00000010127
uc009toa.1	ENSMUST00000002029
uc009tob.1	ENSMUST00000088313
uc009toe.1	ENSMUST00000083047
uc009toc.2	ENSMUST00000008826
uc009tod.2	ENSMUST00000074085
uc009toh.2	ENSMUST00000069722
uc009tog.2	ENSMUST00000069722
uc012hks.1	ENSMUST00000069722
uc009toi.2	ENSMUST00000069722
uc009toj.2	ENSMUST00000069722
uc009tol.2	ENSMUST00000019231
uc009tom.2	ENSMUST00000015435
uc009ton.2	ENSMUST00000114160
uc012hkt.1	ENSMUST00000114160
uc009too.1	ENSMUST00000004326
uc012hku.1	ENSMUST00000004326
uc009top.1	ENSMUST00000004326
uc009tpe.2	ENSMUST00000164101
uc012hkz.1	ENSMUST00000164101
uc009tpa.2	ENSMUST00000004330
uc009tpb.2	ENSMUST00000004330
uc009toz.2	ENSMUST00000004330
uc012hla.1	ENSMUST00000114130
uc009tpd.2	ENSMUST00000114130
uc009tpc.2	ENSMUST00000114130
uc009tph.1	ENSMUST00000054541
uc009tpj.1	ENSMUST00000114117
uc009tpk.1	ENSMUST00000114116
uc009tpo.2	ENSMUST00000033776
uc009tpu.2	ENSMUST00000033541
uc009tpz.1	ENSMUST00000114074
uc009tqa.2	ENSMUST00000033544
uc009tpy.2	ENSMUST00000033544
uc009tqb.2	ENSMUST00000033544
uc009tqc.1	ENSMUST00000114070
uc009tqd.1	ENSMUST00000033540
uc009tqf.1	ENSMUST00000152648
uc009tql.1	ENSMUST00000096389
uc009tqm.1	ENSMUST00000101420
uc009tqn.1	ENSMUST00000101419
uc012hle.1	ENSMUST00000101419
uc009tqo.1	ENSMUST00000088217
uc009tqs.1	ENSMUST00000114039
uc009tqt.1	ENSMUST00000063127
uc009tqv.1	ENSMUST00000114030
uc009tqw.2	ENSMUST00000035626
uc012hlk.1	ENSMUST00000105110
uc009tre.2	ENSMUST00000026760
